"Country","Date","Confirmed","Deaths","Recovered","Active","Pop","pct"
"China",2020-01-22,548,17,28,503,1433783686,0
"China",2020-01-23,643,18,30,595,1433783686,0
"China",2020-01-24,920,26,36,858,1433783686,1e-04
"China",2020-01-25,1406,42,39,1325,1433783686,1e-04
"China",2020-01-26,2075,56,49,1970,1433783686,1e-04
"China",2020-01-27,2877,82,58,2737,1433783686,2e-04
"China",2020-01-28,5509,131,101,5277,1433783686,4e-04
"China",2020-01-29,6087,133,120,5834,1433783686,4e-04
"China",2020-01-30,8141,171,135,7835,1433783686,6e-04
"China",2020-01-31,9802,213,214,9375,1433783686,7e-04
"China",2020-02-01,11891,259,275,11357,1433783686,8e-04
"China",2020-02-02,16630,361,463,15806,1433783686,0.0012
"China",2020-02-03,19716,425,614,18677,1433783686,0.0014
"China",2020-02-04,23707,491,843,22373,1433783686,0.0017
"China",2020-02-05,27440,563,1115,25762,1433783686,0.0019
"China",2020-02-06,30587,633,1477,28477,1433783686,0.0021
"China",2020-02-07,34110,718,1999,31393,1433783686,0.0024
"China",2020-02-08,36814,805,2596,33413,1433783686,0.0026
"China",2020-02-09,39829,905,3219,35705,1433783686,0.0028
"China",2020-02-10,42354,1012,3918,37424,1433783686,0.003
"China",2020-02-11,44386,1112,4636,38638,1433783686,0.0031
"China",2020-02-12,44759,1117,5082,38560,1433783686,0.0031
"China",2020-02-13,59895,1369,6217,52309,1433783686,0.0042
"China",2020-02-14,66358,1521,7977,56860,1433783686,0.0046
"China",2020-02-15,68413,1663,9298,57452,1433783686,0.0048
"China",2020-02-16,70513,1766,10755,57992,1433783686,0.0049
"China",2020-02-17,72434,1864,12462,58108,1433783686,0.0051
"China",2020-02-18,74211,2003,14206,58002,1433783686,0.0052
"China",2020-02-19,74619,2116,15962,56541,1433783686,0.0052
"China",2020-02-20,75077,2238,18014,54825,1433783686,0.0052
"China",2020-02-21,75550,2238,18704,54608,1433783686,0.0053
"China",2020-02-22,77001,2443,22699,51859,1433783686,0.0054
"China",2020-02-23,77022,2445,23187,51390,1433783686,0.0054
"China",2020-02-24,77241,2595,25015,49631,1433783686,0.0054
"China",2020-02-25,77754,2665,27676,47413,1433783686,0.0054
"China",2020-02-26,78166,2717,30084,45365,1433783686,0.0055
"China",2020-02-27,78600,2746,32930,42924,1433783686,0.0055
"China",2020-02-28,78928,2790,36329,39809,1433783686,0.0055
"China",2020-02-29,79356,2837,39320,37199,1433783686,0.0055
"China",2020-03-01,79932,2872,42162,34898,1433783686,0.0056
"China",2020-03-02,80136,2914,44854,32368,1433783686,0.0056
"China",2020-03-03,80261,2947,47450,29864,1433783686,0.0056
"China",2020-03-04,80386,2983,50001,27402,1433783686,0.0056
"China",2020-03-05,80537,3015,52292,25230,1433783686,0.0056
"China",2020-03-06,80690,3044,53944,23702,1433783686,0.0056
"China",2020-03-07,80770,3072,55539,22159,1433783686,0.0056
"China",2020-03-08,80823,3100,57388,20335,1433783686,0.0056
"China",2020-03-09,80860,3123,58804,18933,1433783686,0.0056
"China",2020-03-10,80887,3139,60181,17567,1433783686,0.0056
"China",2020-03-11,80921,3161,61644,16116,1433783686,0.0056
"China",2020-03-12,80932,3172,62901,14859,1433783686,0.0056
"China",2020-03-13,80945,3180,64196,13569,1433783686,0.0056
"China",2020-03-14,80977,3193,65660,12124,1433783686,0.0056
"China",2020-03-15,81003,3203,67017,10783,1433783686,0.0056
"China",2020-03-16,81033,3217,67910,9906,1433783686,0.0057
"China",2020-03-17,81058,3230,68798,9030,1433783686,0.0057
"China",2020-03-18,81102,3241,69755,8106,1433783686,0.0057
"China",2020-03-19,81156,3249,70535,7372,1433783686,0.0057
"China",2020-03-20,81250,3253,71266,6731,1433783686,0.0057
"China",2020-03-21,81305,3259,71857,6189,1433783686,0.0057
"China",2020-03-22,81397,3265,72362,5770,1433783686,0.0057
"Germany",2020-01-27,1,0,0,1,83517045,0
"Germany",2020-01-28,4,0,0,4,83517045,0
"Germany",2020-01-29,4,0,0,4,83517045,0
"Germany",2020-01-30,4,0,0,4,83517045,0
"Germany",2020-01-31,5,0,0,5,83517045,0
"Germany",2020-02-01,8,0,0,8,83517045,0
"Germany",2020-02-02,10,0,0,10,83517045,0
"Germany",2020-02-03,12,0,0,12,83517045,0
"Germany",2020-02-04,12,0,0,12,83517045,0
"Germany",2020-02-05,12,0,0,12,83517045,0
"Germany",2020-02-06,12,0,0,12,83517045,0
"Germany",2020-02-07,13,0,0,13,83517045,0
"Germany",2020-02-08,13,0,0,13,83517045,0
"Germany",2020-02-09,14,0,0,14,83517045,0
"Germany",2020-02-10,14,0,0,14,83517045,0
"Germany",2020-02-11,16,0,0,16,83517045,0
"Germany",2020-02-12,16,0,0,16,83517045,0
"Germany",2020-02-13,16,0,1,15,83517045,0
"Germany",2020-02-14,16,0,1,15,83517045,0
"Germany",2020-02-15,16,0,1,15,83517045,0
"Germany",2020-02-16,16,0,1,15,83517045,0
"Germany",2020-02-17,16,0,1,15,83517045,0
"Germany",2020-02-18,16,0,12,4,83517045,0
"Germany",2020-02-19,16,0,12,4,83517045,0
"Germany",2020-02-20,16,0,12,4,83517045,0
"Germany",2020-02-21,16,0,14,2,83517045,0
"Germany",2020-02-22,16,0,14,2,83517045,0
"Germany",2020-02-23,16,0,14,2,83517045,0
"Germany",2020-02-24,16,0,14,2,83517045,0
"Germany",2020-02-25,17,0,14,3,83517045,0
"Germany",2020-02-26,27,0,15,12,83517045,0
"Germany",2020-02-27,46,0,16,30,83517045,1e-04
"Germany",2020-02-28,48,0,16,32,83517045,1e-04
"Germany",2020-02-29,79,0,16,63,83517045,1e-04
"Germany",2020-03-01,130,0,16,114,83517045,2e-04
"Germany",2020-03-02,159,0,16,143,83517045,2e-04
"Germany",2020-03-03,196,0,16,180,83517045,2e-04
"Germany",2020-03-04,262,0,16,246,83517045,3e-04
"Germany",2020-03-05,482,0,16,466,83517045,6e-04
"Germany",2020-03-06,670,0,17,653,83517045,8e-04
"Germany",2020-03-07,799,0,18,781,83517045,0.001
"Germany",2020-03-08,1040,0,18,1022,83517045,0.0012
"Germany",2020-03-09,1176,2,18,1156,83517045,0.0014
"Germany",2020-03-10,1457,2,18,1437,83517045,0.0017
"Germany",2020-03-11,1908,3,25,1880,83517045,0.0023
"Germany",2020-03-12,2078,3,25,2050,83517045,0.0025
"Germany",2020-03-13,3675,7,46,3622,83517045,0.0044
"Germany",2020-03-14,4585,9,46,4530,83517045,0.0055
"Germany",2020-03-15,5795,11,46,5738,83517045,0.0069
"Germany",2020-03-16,7272,17,67,7188,83517045,0.0087
